key,value
general-menu,"Menu"
general-home,"Accueil"
general-teams,"Equipes"
general-players,"Joueurs"
general-name,"Nom"
general-modify,"Modifier"
home-lead,"Organisez des tournois entre équipes de 11 joueurs!"
home-description,"Cette application vous permet de créer des équipes, d'ajouter des joueurs et de simuler des tournois. Vous pouvez facilement gérer les équipes et les joueurs, et visualiser les résultats des matchs."
home-ready_to_start,"Prêt à commencer ?"
home-click_to_populate,"Cliquez sur le bouton ci-dessous pour peupler automatiquement 8 équipes de 11 joueurs chacune."
home-automatically_populate,"Peupler automatiquement"
home-start_tournament,"Lancer le tournoi"
tournament-scores,"Scores du tournoi"
tournament-tournament,"Tournoi"
tournament-team,"Equipe"
tournament-points,"Points"
tournament-kills_received,"Kills reçus"
tournament-kills_scored,"Kills marqués"
tournament-export_to_csv,"Exporter en CSV"
lists-elements,"Elements"
lists-create,"Créer"
lists-actions,"Actions"
teams-modify_team,"Modifier équipe"
teams-new_team,"Nouvelle équipe"
teams-team,"Equipe"
teams-members,"Membres"
teams-city,"Ville"
players-modify_player,"Modifier joueur"
players-new_player,"Nouveau Joueur"
players-player,"Joueur"
players-name,"Nom"
players-role,"Rôle"
players-team,"Equipe"
